cliente_id,nome,data_adesao,data_cancelamento,ticket_medio,feedback
143,Zeus Comércio e Distribuição,18/10/2022,,14204.27,
85,Zircon Indústria,24/10/2022,,10116.8,"Fui muito bem atendido, recomendo!"
52,Quark Indústria,27/10/2022,,13177.56,"Serviço de altíssima qualidade, indico a todos."
159,Cedro S.A.,27/10/2022,07/07/2023,10754.72,
212,Impetus Indústria,02/11/2022,,5295.88,"Excelente atendimento, profissionais muito qualificados."
28,Kinetix Engenharia,03/11/2022,03/04/2024,6256.88,
172,Optima Consultoria,03/11/2022,,8532.3,"Excelente, tudo foi perfeito."
80,Montis Engenharia,06/11/2022,,10622.71,"Serviço muito bom, realmente vale a pena."
122,Quiron Consultoria,08/11/2022,,12588.53,
210,Pivô Engenharia,09/11/2022,,12250.08,"Fiquei impressionado com a qualidade do atendimento e serviço."
199,Ximex Comércio e Indústria,15/11/2022,,7614.84,Excelente qualidade no serviço!
173,Verus Engenharia,22/11/2022,25/04/2024,3867.1,
69,Hotwave Soluções,25/11/2022,,15750.31,"Atendimento maravilhoso, todos muito educados."
90,Vértice Soluções Tecnológicas,01/12/2022,,9228.66,
133,Valorix Indústria,02/12/2022,,4603.42,"Serviço muito bom, os profissionais são de alta qualidade."
53,HiperTech Consultoria,03/12/2022,,9494.85,Fiquei muito satisfeito com o serviço prestado.
112,Optima Consultoria,05/12/2022,,4383.26,
110,Bravion Consultoria,22/12/2022,,1896.09,"Muito bom, o serviço foi excelente."
64,Katalyst Indústria,29/12/2022,,11896.68,"Ótimo serviço, atendimento e qualidade impecáveis."
215,Tactix Tecnologia,09/01/2023,14/07/2024,14909.67,
218,Midas Indústria,09/01/2023,,8948.8,
102,Zentric Comércio,12/01/2023,,11552.41,"Muito bom, o serviço atendeu todas as minhas expectativas."
63,Impetus Indústria,16/01/2023,,5019.7,
128,Hotwave Soluções,23/01/2023,05/11/2023,2603.66, "A qualidade foi ok, mas não me fez querer voltar"
92,Volante Indústria,24/01/2023,,6836.98,
108,Bravion Consultoria,30/01/2023,31/03/2024,6918.52, "O serviço foi razoável, mas não me causou uma impressão positiva ou negativa"
119,Quiron Consultoria,04/02/2023,,15748.55,
22,Qlick Comércio,09/02/2023,20/03/2023,10437.06,
37,Andromeda Engenharia,13/02/2023,22/05/2024,5487.15,
161,Impar Serviços,13/02/2023,,9295.53,
179,Lector Comércio,27/02/2023,,2239.85,
209,BetaWorks Tecnologia,05/03/2023,21/04/2024,7312.25,
44,Abrastex Soluções,07/03/2023,,16979.93,
118,Lector Comércio,07/03/2023,24/01/2024,10633.19,
194,Veratex Consultoria,07/03/2023,25/04/2024,12671.91,
187,Jatobá Comércio,09/03/2023,,4577.34,
12,WebLink Consultoria,21/03/2023,19/05/2024,4151.28,
4,Mídia Max Comunicação,25/03/2023,26/05/2024,3055.44,
182,Haze Comunicação,27/03/2023,,12983.11,
213,Novatek Tecnologia,07/04/2023,25/04/2024,4791.77, "O serviço foi razoável, sem pontos altos ou baixos"
186,Optima Consultoria,10/04/2023,,8288.98,
139,Quiron Consultoria,13/04/2023,08/05/2023,11649.96, "A experiência foi satisfatória, mas poderia ser mais agradável"
207,Raízes Agropecuária,14/04/2023,,4240.64,
129,Ciprox Indústria,18/04/2023,,3465.15,
21,Kyros Tecnologia,26/04/2023,,18187.88,Profissionais competentes e educados.
45,Qlick Comércio,27/04/2023,25/04/2024,3516.16,
98,Vértice Soluções Tecnológicas,27/04/2023,,9388.26,"Excelente qualidade e atendimento, estou satisfeito."
99,Solis Indústria,03/05/2023,,9906.43,
66,Duxon Consultoria,18/05/2023,25/04/2024,17101.88,
51,Sanar Tecnologia,28/05/2023,,8406.79,"Serviço muito bom, com um atendimento excelente."
103,Veratex Consultoria,28/05/2023,,2367.42,
208,Jatec Consultoria,30/05/2023,06/10/2023,12784.63, A qualidade do serviço foi bem abaixo do esperado
168,Quiron Consultoria,03/06/2023,11/06/2023,13575.53,
220,Topaz Comércio,04/06/2023,,1713.97,
130,Verus Engenharia,08/06/2023,29/06/2024,10170.11, A comunicação foi confusa e não me ajudou a resolver nada
83,Falconix Engenharia,15/06/2023,03/04/2024,16657.01,
3,Radiant Engenharia,19/06/2023,,10260.13,
200,LumaLog Comércio,19/06/2023,,12063.45,
154,Absoluta Engenharia,23/06/2023,25/04/2024,10281.87, "A experiência foi frustrante, houve vários problemas no processo"
191,Novatek Tecnologia,24/06/2023,,2047.27,
71,Celeris Soluções,27/06/2023,17/04/2024,9806.69,
78,Ypsilon Comércio,29/06/2023,,10802.95,"Ótimo serviço, indico a todos."
11,Leven Engenharia,30/06/2023,25/04/2024,11870.9,
42,Estelar Engenharia,02/07/2023,,17745.07,
165,Soluções Integradas,02/07/2023,,15416.1,"Muito bom, serviço de qualidade e realizado com eficiência."
2,Pivotal Engenharia,08/07/2023,22/06/2024,7581.36,
91,Zantech Consultoria,11/07/2023,25/04/2024,9762.6, O serviço foi de baixa qualidade e não resolveu meu problema
131,Estamina Indústria,17/07/2023,,8208.62,Profissionais muito capacitados e educados.
75,Winsoft Indústria,20/07/2023,16/09/2024,2084.77,
84,XenonLog Comércio,22/07/2023,,10430.72,"Excelente, superou minhas expectativas!"
70,Stratagem Engenharia,30/07/2023,,13444.1,
138,Yara Indústria Química,30/07/2023,25/04/2024,6301.67,
124,Spectra Telecom,03/08/2023,,18514.69,"Serviço impecável, muito eficiente."
33,Ellex Comércio Exterior,15/08/2023,,8212.95,
10,Luxor Comércio e Distribuição,22/08/2023,25/04/2024,12678.98,
8,Quantech Logística,25/08/2023,,17665.27,"Profissionais qualificados, serviço muito bem feito."
58,Xtreme Comércio e Serviços,26/08/2023,,3510.99,
57,Abrastex Soluções,30/08/2023,22/04/2024,8346.32, "O serviço foi muito aquém do que eu esperava, não valeu a pena"
121,Horizonte Logística,13/09/2023,,1849.24,
140,Helix Comércio,18/09/2023,,14921.7,
183,MagnoTech Comércio,19/09/2023,,2500.66,"Serviço rápido, eficaz e de excelente qualidade."
120,Duxon Consultoria,28/09/2023,,10407.94,
137,YNova Engenharia,02/10/2023,04/12/2023,9805.79, "O serviço foi entregue no tempo esperado, mas a qualidade poderia ser mais alta"
87,Optima Consultoria,03/10/2023,,18866.2,"Excelente atendimento, tudo perfeito."
76,Quark Indústria,08/10/2023,,1722.55,
59,WebLink Consultoria,17/10/2023,25/04/2024,9816.27, "O serviço foi concluído, mas com algumas falhas pequenas"
166,Rodrix Comércio,18/10/2023,,16900.56,
188,Ferrovia Sul Logística,23/10/2023,25/04/2024,10689.08, "O serviço foi realizado de forma eficiente, mas sem entusiasmo"
113,Leven Engenharia,28/10/2023,,18101.4,"Muito bom, um serviço realizado com perfeição."
77,Telecrux Tecnologia,03/11/2023,05/05/2024,7942.26,
169,Mídia Max Comunicação,05/11/2023,,9234.3,Excelente qualidade de serviço e atendimento.
206,Estamina Indústria,05/11/2023,,13208.93,
100,Horizonte Logística,07/11/2023,,7392.86,"Excelente atendimento, a equipe é fantástica!"
32,Leven Engenharia,10/11/2023,09/01/2024,16874.37, "A qualidade é aceitável, mas há espaço para melhorias"
195,BravaTech Comércio,14/11/2023,,3085.66,"Muito bom, o serviço foi rápido e eficiente."
54,NovaWave Logística,18/11/2023,,9490.16,
216,MyTech Engenharia,21/11/2023,28/02/2024,14890.87, "Cumpriu o objetivo, mas o processo poderia ter sido mais rápido"
47,Katalyst Indústria,22/11/2023,,18560.96,
17,Equinox Engenharia,29/11/2023,14/03/2024,6341.62, "O serviço foi entregue, mas a comunicação poderia ter sido melhor"
145,Mídia Max Comunicação,04/12/2023,,2865.29,
164,Trilogia S.A.,30/12/2023,,6575.26,"O atendimento foi maravilhoso, não tenho reclamações."
144,Lumen Automação,10/01/2024,,15970.45,Excelente qualidade de serviço e atendimento.
181,Ciron Comércio,11/01/2024,,18572.44,
96,Soluções Integradas,15/01/2024,06/12/2024,9354.45, "O atendimento foi bom, mas o serviço não superou minhas expectativas"
9,EcoSolution Engenharia,19/01/2024,,17187.05,O serviço foi realizado com muito cuidado e atenção.
174,HiperTech Consultoria,19/01/2024,,11942.39,
134,Abrastex Soluções,27/01/2024,,6445.85,"O atendimento foi maravilhoso, muito bom mesmo."
185,Zantech Consultoria,01/02/2024,,9341.52,
55,Ciprox Indústria,09/02/2024,,12895.83,Profissionais muito capacitados e educados.
18,Estelar Engenharia,12/02/2024,,7356.0,
27,Duxon Consultoria,11/03/2024,25/07/2024,3570.7, "A experiência foi decente, mas sem algo que me fizesse recomendar"
178,Kalon Serviços,21/03/2024,24/10/2024,11372.26, "O trabalho foi feito, mas não é algo que eu recomendaria ativamente"
135,Pivotal Engenharia,30/03/2024,,8650.49,
24,Rexo Tecnologia,03/04/2024,,3031.76,"Profissionais qualificados e atentos às necessidades."
176,Duxon Consultoria,08/04/2024,21/12/2024,4117.22,
73,Xerion Tecnologia,12/04/2024,,15594.68,O atendimento foi impecável!
94,Quivon Indústria,20/04/2024,15/08/2024,13188.95, "A entrega foi pontual, mas a qualidade não foi excepcional"
30,Stratagem Engenharia,24/04/2024,,10950.68,
163,Xenith Comércio,25/04/2024,06/09/2024,9396.41, "O serviço foi razoável, sem pontos altos ou baixos"
202,Orbitex Consultoria,27/04/2024,,7102.46,O atendimento foi rápido e eficiente.
74,Telecrux Tecnologia,05/05/2024,,12936.32,
7,UniTech Comércio,17/05/2024,31/05/2024,5122.47, "Não tenho grandes críticas, mas também não tenho grandes elogios"
68,Novatek Tecnologia,17/05/2024,,3977.4,
86,HiperTech Consultoria,24/05/2024,30/07/2024,6985.08, "O serviço foi aceitável, mas não vejo motivo para recomendar"
23,EcoSphere Comércio,25/05/2024,,5812.06,"Muito bom, recomendo a todos."
46,Estamina Indústria,29/05/2024,23/09/2024,3269.61,
82,Impetus Indústria,30/05/2024,,2268.79,"Atendimento muito bom, são rápidos e eficientes."
189,Jetron Engenharia,06/06/2024,,18450.73,"Serviço rápido, eficaz e de excelente qualidade."
151,RioTech Soluções,13/06/2024,,1976.08,
16,Novus Telecom,22/06/2024,,4331.85,"Atendimento maravilhoso, todos muito educados."
36,Xpandit Tecnologia,25/06/2024,,10461.26,
141,Equinox Engenharia,30/06/2024,19/10/2024,15419.54, "O atendimento foi péssimo, não foram úteis em nenhum momento"
5,Evertech Tecnologia,02/07/2024,,10184.75,"Fiquei muito satisfeito com o serviço, super recomendo."
203,Trilogia S.A.,03/07/2024,,14627.88,
49,LumaLog Comércio,14/02/2024,25/03/2024,9008.39, "O serviço não atendeu à minha expectativa, fiquei bastante decepcionado"
29,Cydra Indústria,29/07/2024,,4303.82,
1,Rodrix Comércio,10/03/2024,14/03/2024,10095.86, "O serviço foi incompleto, algumas partes não foram feitas corretamente"
214,DynaTech Indústria,11/08/2024,,6651.99,
184,Estelar Engenharia,12/08/2024,01/11/2024,8393.26, O trabalho foi feito de forma apressada e não com a qualidade que eu esperava
136,AlfaMax Comércio,18/08/2024,,3994.45,
158,BravaTech Comércio,26/01/2024,21/03/2024,10922.48, O atendimento foi impessoal e não me senti valorizado como cliente
13,Lançar Tecnologia,29/08/2024,04/11/2024,12950.89, "O serviço não foi feito como solicitado, faltaram detalhes importantes"
167,EcoSphere Comércio,02/09/2024,,9575.14,
65,Equinox Engenharia,06/05/2024,18/05/2024,11027.12, A entrega foi muito atrasada e sem uma justificativa clara
107,Umbrasil Comércio,07/09/2024,,1965.6,
109,Haze Comunicação,22/09/2024,16/12/2024,2669.22, O serviço foi de baixa qualidade e não resolveu meu problema
39,Granitex Comércio,23/09/2024,25/11/2024,10848.04,
26,Reflektor Tecnologia,28/09/2024,,5045.55,Profissionais competentes e atenciosos.
155,TechNova Engenharia,28/02/2024,05/04/2024,9405.86, O serviço foi cobrado de forma errada e ninguém se responsabilizou
88,Conexão Global,02/10/2024,,8065.11,
132,BetaWorks Tecnologia,14/03/2024,18/07/2024,13654.29, O serviço foi desorganizado e não cumpriu com o prometido
115,Andromeda Engenharia,18/03/2024,25/05/2024,8709.04, "Não gostei da qualidade do serviço, foi muito aquém do esperado"
116,Qlick Comércio,18/10/2024,,11801.98,
201,Octanix Comércio,24/03/2024,04/06/2024,17950.22, O serviço foi mal executado e gerou mais problemas do que soluções
40,Jatec Consultoria,25/03/2024,27/07/2024,15786.12,
170,Lynx Indústria,30/10/2024,,12817.74,O serviço foi eficiente e bem executado.
126,XenonLog Comércio,04/11/2024,06/11/2024,8174.41, "O serviço foi muito aquém do que eu esperava, não valeu a pena"
38,Irix Logística,06/11/2024,,12178.22,
217,Abrastex Soluções,09/01/2024,19/05/2024,6581.97, Não houve comprometimento por parte da equipe e fiquei muito insatisfeito
152,Jatobá Comércio,13/11/2024,,14560.27,"Atendimento rápido e eficiente."
31,Yngrid Engenharia,21/06/2024,08/11/2024,16731.37,
81,Kaizen Engenharia,28/11/2024,,15911.64,Estou muito satisfeito com o serviço prestado.
89,Telecrux Tecnologia,01/03/2024,03/05/2024,2621.81,
